Location,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 
Middle-income countries,4405121.314,4466813.945,4527594.916,4587741.55,4647489.693,4706978.594,4766301.524,4825586.517,4884948.742,4944485.729,5004220.786,5064199.911,5124552.316,5185424.323,5246881.509,5308974.416,5371564.898,5434287.584,5496648.665,5558263.979,5611935.029,5662483.58,5710275.343
Monaco,30.967,31.251,31.523,31.8,32.082,32.36,32.629,32.933,33.314,33.793,34.408,35.111,35.853,36.534,37.094,37.497,37.783,37.971,38.132,38.307,38.478,38.641,38.797
Mongolia,2316.567,2335.695,2355.59,2376.162,2397.436,2419.776,2443.659,2469.286,2496.832,2526.446,2558.012,2591.67,2628.131,2668.289,2712.65,2761.516,2814.226,2869.107,2923.896,2976.877,3022.488,3065.124,3105.046
Montenegro,619.707,618.216,616.34,614.65,613.56,613.175,613.382,614.097,615.145,616.388,617.832,619.484,621.205,622.852,624.285,625.466,626.386,627.094,627.674,628.178,627.938,627.373,626.526
Montserrat,9.376,8.216,6.936,5.787,4.955,4.505,4.376,4.471,4.644,4.778,4.846,4.889,4.908,4.923,4.944,4.994,5.031,5.068,5.098,5.124,5.145,5.162,5.181
More developed regions,1175426.24,1179318.726,1183072.825,1186777.089,1190504.735,1194258.743,1198050.412,1201966.731,1206111.93,1210545.53,1215324.559,1220392.009,1225552.166,1230533.857,1235142.506,1239297.769,1243054.571,1246519.987,1249863.519,1253206.546,1255406.488,1257051.746,1258201.075
Morocco,27460.603,27825.901,28175.263,28514.798,28849.621,29181.832,29512.368,29843.937,30179.285,30521.07,30869.346,31225.881,31596.855,31989.897,32409.639,32858.823,33333.789,33824.769,34318.082,34803.322,35230.4,35633.859,36016.088
Mozambique,16248.232,16701.351,17136.78,17584.869,18067.687,18588.758,19139.658,19716.598,20312.705,20923.07,21547.463,22188.387,22846.758,23524.063,24221.405,24939.005,25676.606,26434.372,27212.382,28010.691,28801.423,29598.676,30404.732
Myanmar,43793.31,44371.525,44959.935,45539.435,46095.462,46627.994,47140.22,47624.894,48073.707,48482.614,48846.474,49171.586,49479.752,49800.69,50155.896,50553.031,50986.514,51448.196,51924.182,52403.669,52832.166,53233.329,53609.492
Namibia,1706.489,1758.994,1810.566,1858.042,1899.257,1933.596,1962.147,1986.535,2009.228,2032.196,2055.734,2079.915,2106.375,2137.04,2173.17,2215.621,2263.934,2316.52,2370.992,2425.561,2476.282,2525.958,2574.728
Nauru,10.029,10.057,10.046,10.04,10.037,10.052,10.08,10.106,10.126,10.114,10.071,10.002,9.947,9.945,10.025,10.208,10.478,10.79,11.07,11.26,11.221,11.193,11.159
Nepal,21903.379,22389.803,22856.305,23305.994,23740.911,24161.777,24566.342,24950.623,25309.449,25640.287,25940.618,26214.847,26475.859,26741.103,27023.137,27327.147,27649.925,27985.31,28323.241,28656.282,28931.797,29195.798,29449.123
Netherlands,15563.255,15655.475,15745.647,15835.523,15926.188,16018.114,16110.355,16200.951,16287.182,16367.158,16440.222,16507.056,16568.734,16626.926,16682.917,16737.002,16789.095,16839.699,16889.356,16938.499,16968.703,16994.84,17017.312
New Caledonia,195.216,199.715,204.18,208.582,212.871,217.04,221.088,225.026,228.883,232.686,236.435,240.129,243.786,247.413,251.037,254.657,258.275,261.889,265.497,269.091,272.367,275.526,278.581
New Zealand,3717.349,3752.362,3783.974,3818.131,3858.999,3907.933,3963.206,4022.069,4080.438,4135.355,4185.917,4233.151,4278.325,4323.482,4370.062,4418.365,4467.743,4517.527,4566.7,4614.532,4655.492,4693.843,4729.809
Nicaragua,4700.779,4786.64,4869.626,4949.66,5026.796,5100.75,5171.734,5240.879,5309.703,5379.328,5450.211,5522.106,5594.506,5666.581,5737.723,5807.82,5877.108,5945.747,6013.997,6082.035,6141.719,6198.205,6251.537
Niger,9819.964,10180.061,10556.549,10947.829,11352.973,11771.976,12206.002,12656.87,13127.012,13618.449,14132.064,14668.338,15228.525,15813.913,16425.578,17064.636,17731.634,18426.372,19148.219,19896.965,20652.753,21429.564,22229.564
Nigeria,110732.904,113522.705,116385.75,119327.073,122352.009,125463.434,128666.71,131972.533,135393.616,138939.478,142614.094,146417.024,150347.39,154402.181,158578.261,162877.076,167297.284,171829.303,176460.502,181181.744,185807.73,190446.636,195114.77
Niue,2.124,2.067,2.011,1.956,1.899,1.854,1.789,1.755,1.715,1.683,1.662,1.651,1.639,1.636,1.63,1.63,1.623,1.623,1.616,1.629,1.624,1.617,1.619
Northern Africa,161147.693,164048.569,166870.573,169688.534,172558.87,175508.848,178532.165,181612.134,184717.778,187832.255,190943.294,194076.392,197295.994,200688.229,204310.19,208185.873,212283.783,216536.065,220844.881,225135.657,229125.155,232964.962,236677.448
Northern America,298550.675,302165.132,305846.481,309442.255,312845.026,316004.041,318955.126,321783.263,324616.926,327545.823,330601.133,333743.187,336906.35,339993.501,342936.927,345716.402,348362.053,350917.629,353448.548,356003.541,358183.684,360279.536,362299.483
Northern Europe,93512.607,93756.133,94010.43,94272.734,94543.861,94815.556,95095.975,95420.955,95837.972,96376.906,97056.005,97854.164,98713.51,99552.864,100313.727,100974.168,101550.511,102069.505,102574.541,103097.292,103550.518,103966.335,104348.621
Northern Mariana Islands,59.364,62.528,65.474,67.755,69.094,69.388,68.763,67.422,65.663,63.744,61.688,59.513,57.431,55.674,54.424,53.786,53.718,54.036,54.468,54.816,54.851,54.88,54.9
Norway,4393.209,4420.262,4447.486,4474.004,4499.367,4523.145,4546.019,4570.106,4598.214,4632.364,4673.07,4719.648,4771.409,4827.18,4885.878,4947.595,5012.007,5077.101,5140.311,5199.836,5242.755,5284.765,5325.943
Oceania,29593.028,29997.105,30401.381,30810.664,31229.422,31656.849,32094.472,32551.66,33040.246,33567.637,34138.499,34747.498,35379.766,36014.268,36635.566,37237.877,37824.446,38399.398,38970.389,39542.98,40081.176,40596.204,41090.615
Oman,2236.666,2249.773,2251.875,2254.918,2267.991,2294.787,2334.285,2385.255,2444.751,2511.269,2582.991,2662.762,2759.014,2882.942,3041.46,3237.268,3464.644,3711.481,3960.925,4199.81,4448.118,4660.681,4839.885
Pakistan,125938.339,129086.987,132253.264,135405.584,138523.285,141601.437,144654.143,147703.401,150780.3,153909.667,157093.993,160332.974,163644.603,167049.58,170560.182,174184.265,177911.533,181712.595,185546.257,189380.513,192978.969,196477.575,199889.298
Palau,17.691,18.123,18.524,18.879,19.175,19.404,19.574,19.7,19.804,19.906,20.012,20.116,20.228,20.342,20.47,20.599,20.758,20.92,21.094,21.288,21.492,21.68,21.871
Panama,2796.344,2853.941,2912.328,2971.197,3030.347,3089.684,3149.265,3209.174,3269.541,3330.465,3391.905,3453.807,3516.268,3579.385,3643.222,3707.782,3772.938,3838.462,3903.986,3969.249,4029.038,4086.862,4142.913
Papua New Guinea,5022.437,5154.91,5291.178,5430.479,5572.222,5716.152,5862.316,6010.724,6161.517,6314.709,6470.272,6627.922,6787.187,6947.447,7108.239,7269.348,7430.836,7592.865,7755.785,7919.825,8075.94,8229.656,8381.464
Paraguay,4870.694,4980.344,5089.31,5196.937,5302.7,5406.624,5508.611,5607.95,5703.74,5795.494,5882.796,5966.159,6047.117,6127.837,6209.877,6293.783,6379.219,6465.74,6552.584,6639.119,6716.814,6790.998,6862.07
Peru,24441.074,24827.406,25199.748,25561.299,25914.879,26261.363,26601.467,26937.738,27273.194,27610.41,27949.944,28292.724,28641.98,29001.507,29373.646,29759.989,30158.966,30565.716,30973.354,31376.671,31730.524,32068.115,32390.916
Philippines,71446.107,73064.764,74693.695,76335.812,77991.569,79665.315,81352.06,83031.954,84678.493,86274.237,87809.419,89293.49,90751.864,92220.879,93726.624,95277.94,96866.642,98481.032,100102.249,101716.359,103177.272,104599.599,105988.294
Poland,38503.607,38538.73,38558.054,38561.694,38550.495,38524.005,38484.472,38438.826,38396.066,38362.666,38341.036,38329.585,38325.689,38324.87,38323.402,38320.947,38317.404,38309.451,38293.06,38265.226,38175.516,38062.897,37929.644
Polynesia,586.799,593.335,599.934,606.495,612.966,619.379,625.686,631.739,637.273,642.17,646.361,649.915,653.041,656.015,659.073,662.2,665.425,668.867,672.609,676.747,681.919,686.22,689.82
Portugal,10192.394,10232.884,10272.286,10312.611,10355.117,10399.312,10443.668,10487.113,10528.268,10565.723,10599.951,10630.12,10652.099,10660.616,10652.321,10625.33,10581.821,10527.674,10471.168,10418.473,10363.282,10307.694,10251.917
Puerto Rico,3719.324,3746.359,3769.336,3786.575,3796.977,3799.907,3796.028,3787.268,3776.359,3765.399,3755.113,3745.258,3735.788,3726.331,3716.693,3706.984,3697.576,3688.723,3680.715,3673.728,3664.821,3654.695,3643.431
Qatar,522.304,534.608,550.43,569.447,592.267,616.886,645.659,688.586,758.855,864.863,1010.382,1189.633,1389.342,1590.78,1779.676,1952.054,2109.568,2250.473,2374.419,2481.539,2549.69,2612.605,2670.732
Republic of Korea,45757.361,46202.604,46627.442,47023.88,47386.312,47712.788,48004.786,48265.026,48498.083,48708.497,48895.845,49062.429,49218.985,49379.208,49552.855,49744.659,49952.244,50169.242,50385.56,50593.662,50732.529,50848.656,50944.213
Republic of Moldova,4314.7,4284.931,4253.284,4224.273,4201.089,4185.505,4176.616,4171.646,4166.337,4157.699,4144.73,4128.649,4111.44,4096.04,4084.481,4077.368,4073.703,4071.964,4069.939,4065.98,4052.468,4036.651,4018.724
Réunion,686.463,699.299,711.992,724.484,736.71,748.658,760.258,771.384,781.864,791.598,800.543,808.735,816.335,823.537,830.519,837.304,843.907,850.4,856.867,863.363,869.069,874.491,879.67
Romania,22804.165,22632.805,22458.077,22288.057,22128.128,21984.135,21854.676,21728.919,21591.164,21431.018,21243.922,21036.111,20821.084,20617.955,20440.347,20292.967,20171.255,20068.201,19972.736,19876.621,19753.326,19627.465,19499.371
Russian Federation,148073.924,147768.371,147381.001,146919.737,146396.514,145814.864,145194.882,144584.695,144044.607,143618.185,143322.933,143150.142,143083.187,143092.765,143153.869,143263.988,143420.597,143597.23,143761.378,143888.004,143781.988,143584.497,143304.314
Rwanda,6115.168,6522.382,7059.813,7593.239,8025.703,8329.406,8536.205,8680.346,8818.438,8991.735,9206.58,9447.402,9708.169,9977.446,10246.842,10516.071,10788.853,11065.151,11345.357,11629.553,11909.197,12181.708,12448.536
Saint Helena,5.264,5.251,5.241,5.201,5.114,4.972,4.792,4.586,4.408,4.275,4.201,4.165,4.166,4.176,4.177,4.152,4.117,4.081,4.054,4.034,4.046,4.057,4.071
Saint Kitts and Nevis,43.373,43.846,44.317,44.824,45.374,45.99,46.641,47.306,47.971,48.611,49.21,49.783,50.332,50.886,51.445,52.006,52.591,53.169,53.739,54.288,54.753,55.179,55.571
Saint Lucia,149.004,151.086,153.183,155.172,156.949,158.464,159.763,160.973,162.251,163.714,165.407,167.288,169.22,171.022,172.58,173.832,174.835,175.66,176.421,177.206,177.832,178.344,178.769
Saint Pierre and Miquelon,6.296,6.291,6.285,6.281,6.272,6.268,6.262,6.255,6.259,6.261,6.26,6.261,6.269,6.277,6.274,6.274,6.276,6.273,6.277,6.29,6.287,6.293,6.305
Saint Vincent and the Grenadines,108.075,108.004,107.922,107.88,107.898,107.988,108.146,108.35,108.559,108.744,108.907,109.047,109.165,109.253,109.315,109.341,109.328,109.32,109.357,109.455,109.607,109.703,109.741
Samoa,171.283,172.198,172.981,173.755,174.61,175.566,176.582,177.662,178.781,179.929,181.094,182.286,183.526,184.826,186.205,187.665,189.194,190.757,192.29,193.759,195.049,196.113,197.023
San Marino,26.209,26.508,26.799,27.096,27.418,27.762,28.121,28.494,28.866,29.24,29.614,29.977,30.351,30.723,31.11,31.504,31.914,32.303,32.657,32.96,33.129,33.271,33.374
Sao Tome and Principe,128.821,131.107,133.418,135.886,138.606,141.622,144.889,148.372,151.969,155.63,159.328,163.101,166.913,170.813,174.776,178.8,182.889,187.045,191.266,195.553,199.684,203.801,207.91
Saudi Arabia,19131.578,19505.576,19882.458,20294.406,20764.312,21303.592,21906.308,22556.425,23228.89,23905.654,24578.301,25252.569,25940.77,26661.492,27425.676,28238.02,29086.357,29944.476,30776.722,31557.144,32205.591,32809.534,33373.256
Senegal,8974.077,9196.528,9418.393,9645.957,9884.052,10134.497,10396.861,10670.99,10955.944,11251.266,11556.763,11873.557,12203.957,12550.917,12916.229,13300.91,13703.513,14120.32,14546.111,14976.994,15393.846,15808.932,16223.671
Serbia,9855.506,9783.393,9683.612,9579.314,9487.615,9413.418,9352.705,9302.869,9258.343,9214.986,9173.289,9135.214,9099.552,9064.756,9029.716,8993.746,8956.984,8920.215,8884.712,8851.28,8812.835,8771.516,8727.645
Seychelles,77.675,78.459,79.188,80.051,81.151,82.567,84.203,85.91,87.484,88.744,89.659,90.281,90.686,91.034,91.405,91.834,92.285,92.765,93.254,93.742,94.21,94.586,94.896
Sierra Leone,4282.35,4305.455,4353.646,4437.803,4564.297,4739.147,4957.216,5199.549,5439.695,5658.379,5848.692,6015.417,6165.372,6310.26,6458.72,6611.692,6766.103,6922.079,7079.162,7237.025,7389.686,7539.759,7687.662
Singapore,3566.133,3649.135,3731.44,3818.462,3913.96,4018.779,4131.208,4249.295,4370.04,4491.042,4611.901,4732.528,4851.109,4965.518,5074.252,5176.017,5270.958,5360.837,5448.342,5535.262,5630.371,5711.717,5780.514
Sint Maarten (Dutch part),30.853,31.11,31.374,31.615,31.819,32,32.182,32.346,32.464,32.531,32.517,32.439,32.437,32.632,33.124,33.976,35.133,36.439,37.697,38.75,39.224,39.695,40.142
Slovakia,5384.788,5391.204,5395.254,5397.708,5399.211,5400.006,5400.154,5399.886,5399.419,5398.963,5398.541,5398.326,5398.856,5400.719,5404.294,5409.847,5417.07,5425.13,5432.841,5439.318,5436.231,5431.027,5423.783
Slovenia,1988.989,1987.955,1987.976,1988.318,1988.499,1988.349,1988.264,1988.965,1991.43,1996.281,2003.791,2013.539,2024.538,2035.424,2045.168,2053.436,2060.39,2066.119,2070.845,2074.788,2075.159,2074.374,2072.561
Solomon Islands,369.469,379.947,390.643,401.538,412.609,423.853,435.262,446.769,458.324,469.885,481.422,492.94,504.477,516.079,527.79,539.614,551.531,563.513,575.504,587.482,598.721,609.712,620.526
Somalia,7892.389,8137.475,8422.372,8720.231,9011.479,9290.823,9564.167,9836.397,10116.228,10409.925,10718.317,11038.596,11369.276,11707.99,12053.223,12404.725,12763.776,13132.349,13513.125,13908.129,14302.176,14706.548,15121.763
South Africa,42898.52,43657.024,44372.112,45058.775,45728.315,46385.006,47026.173,47648.727,48247.395,48820.586,49364.582,49887.181,50412.129,50970.818,51584.663,52263.516,52998.213,53767.396,54539.571,55291.225,55932.691,56533.512,57098.791
South America,328846.881,334069.539,339248.255,344363.019,349398.761,354352.276,359225.252,364013.849,368715.053,373328.523,377848.083,382277.872,386640.742,390967.784,395280.204,399586.154,403876.144,408131.634,412325.321,416436.111,419917.475,423138.448,426125.756
South Sudan,5591.114,5814.006,6099.923,6405.864,6700.656,6974.442,7237.276,7501.642,7787.655,8108.877,8468.152,8856.8,9263.136,9670.667,10067.192,10448.857,10818.258,11177.49,11530.971,11882.136,12211.212,12536.908,12860.015
South-Central Asia,1400447.106,1427390.72,1454362.517,1481345.439,1508317.036,1535283.08,1562217.455,1589027.258,1615592.747,1641830.209,1667689.93,1693195.935,1718429.376,1743512.483,1768530.742,1793502.411,1818387.627,1843142.952,1867702.391,1892013.476,1913530.205,1933991.434,1953512.93
South-Eastern Asia,493385.961,501330.486,509197.176,516975.054,524657.117,532250.427,539762.712,547189.695,554525.11,561770.198,568911.059,575964.112,582996.692,590098.259,597327.771,604713.31,612222.205,619777.173,627267.298,634609.846,640865.258,646766.436,652348.125
Southern Africa,48978.106,49868.101,50709.61,51512.835,52286.079,53032.419,53751.515,54445.09,55114.734,55764.05,56390.73,57002.231,57623.682,58287.624,59016.093,59819.9,60689.548,61601.24,62520.018,63419.639,64200.051,64935.31,65631.154
Southern Asia,1346561.282,1373098.444,1399678.267,1426247.949,1452757.699,1479200.787,1505551.557,1531719.387,1557592.337,1583092.371,1608171.414,1632849.963,1657204.591,1681351.464,1705374.295,1729290.196,1753068.62,1776688.067,1800111.442,1823308.471,1843837.659,1863374.159,1882026.417
Southern Europe,144718.877,144786.897,144908.134,145177.435,145657.35,146368.156,147273.493,148307.083,149372.845,150392.512,151358.941,152268.544,153052.154,153627.755,153943.085,153958.951,153703.438,153276.446,152820.713,152440.653,152149.748,151795.923,151386.735
Spain,40009.324,40131.56,40292.642,40539.723,40903.711,41392.103,41985.52,42653.406,43351.668,44042.632,44725.532,45393.858,45997.806,46476.072,46788.63,46909.138,46857.404,46697.553,46521.827,46397.664,46382.905,46343.485,46282.124
Sri Lanka,18372.12,18476.505,18570.701,18669.103,18781.938,18913.054,19059.3,19215.307,19372.538,19524.558,19670.151,19810.789,19945.832,20075.086,20198.353,20315.017,20424.555,20527.233,20623.564,20714.04,20768.752,20813.016,20848.067
State of Palestine,2741.578,2871.147,2999.862,3119.076,3223.009,3308.75,3379.049,3440.799,3504.041,3576.17,3659.363,3751.866,3852.31,3957.984,4066.829,4178.875,4294.96,4414.644,4537.425,4662.884,4784.768,4906.672,5028.773
Sub-Saharan Africa,580072.826,595704.22,611721.663,628147.493,645007.134,662312.08,680090.432,698404.732,717330.823,736925.453,757212.872,778189.569,799848.676,822170.425,845136.154,868747.94,893001.485,917862.127,943284.908,969234.251,994690.965,1020170.292,1045749.535
Sudan,24786.19,25410.451,26003.542,26607.042,27250.535,27945.005,28679.565,29435.944,30186.341,30911.914,31607.064,32282.526,32955.496,33650.619,34385.963,35167.314,35990.192,36849.918,37737.913,38647.803,39530.611,40424.933,41332.079
Suriname,450.036,455.954,461.56,467.003,472.39,477.74,483.044,488.332,493.63,498.946,504.307,509.705,515.148,520.619,526.103,531.589,537.077,542.54,547.928,553.208,557.666,561.787,565.608
Swaziland,981.764,1003.995,1026.009,1045.629,1061.468,1072.927,1080.93,1087.392,1095.053,1105.873,1120.514,1138.434,1158.897,1180.675,1202.843,1225.258,1248.158,1271.456,1295.097,1319.011,1341.524,1363.167,1384.057
Sweden,8859.191,8868.853,8870.848,8873.1,8881.64,8897.793,8920.694,8951.422,8990.639,9038.623,9096.264,9163.243,9236.89,9313.478,9390.168,9465.892,9540.907,9615.247,9689.376,9763.565,9828.343,9888.342,9943.809
Switzerland,7061.173,7091.765,7115.127,7138.464,7167.25,7202.685,7243.914,7291.893,7347.247,7410.308,7481.407,7560.358,7646.113,7737.161,7831.971,7930.421,8031.67,8132.674,8229.629,8319.769,8387.493,8448.774,8504.171
Syrian Arab Republic,14755.286,15177.456,15602.21,16016.092,16410.848,16766.899,17087.901,17415.266,17806.638,18294.611,18914.977,19632.806,20325.443,20824.893,21018.834,20863.993,20420.701,19809.141,19203.09,18734.987,18103.973,17831.254,17878.95
Tajikistan,5849.54,5934.282,6021.691,6114.886,6216.205,6327.125,6447.688,6576.877,6712.841,6854.176,7000.557,7152.385,7309.728,7472.819,7641.63,7815.949,7995.062,8177.809,8362.745,8548.651,8725.543,8896.7,9062.949
TFYR Macedonia,1989.443,1999.599,2012.057,2024.394,2034.819,2042.842,2048.928,2053.426,2057.047,2060.272,2063.145,2065.458,2067.378,2069.093,2070.739,2072.383,2074.036,2075.739,2077.495,2079.308,2078.924,2077.669,2075.622
Thailand,60151.472,60863.506,61597.283,62306.651,62958.021,63543.322,64073.164,64554.952,65002.231,65425.47,65824.164,66195.615,66545.76,66881.867,67208.808,67530.13,67843.979,68143.065,68416.772,68657.6,68776.239,68847.702,68877.018
Timor-Leste,875.916,871.994,865.194,863.269,871.607,892.531,923.825,960.852,996.698,1026.484,1048.621,1064.973,1078.11,1092.021,1109.591,1131.523,1156.76,1184.366,1212.814,1240.977,1266.675,1292.505,1318.527
Togo,4398.238,4534.551,4679.023,4825.704,4970.367,5111.77,5251.472,5391.401,5534.598,5683.268,5837.792,5997.385,6161.796,6330.472,6502.952,6679.282,6859.482,7042.948,7228.915,7416.802,7597.918,7777.544,7956.328
Tokelau,1.529,1.547,1.575,1.574,1.554,1.503,1.435,1.351,1.273,1.208,1.167,1.141,1.126,1.126,1.14,1.151,1.167,1.187,1.219,1.252,1.282,1.3,1.315
Tonga,96.369,96.725,97.135,97.591,98.082,98.611,99.184,99.789,100.406,101.041,101.689,102.357,103.005,103.604,104.137,104.577,104.951,105.328,105.782,106.364,107.216,107.999,108.752
Trinidad and Tobago,1258.364,1260.678,1262.542,1264.775,1267.984,1272.38,1277.837,1284.052,1290.535,1296.934,1303.144,1309.26,1315.372,1321.618,1328.1,1334.788,1341.588,1348.248,1354.493,1360.092,1363.263,1365.234,1366.128
Tunisia,9256.037,9384.152,9499.395,9603.742,9699.197,9785.701,9864.326,9939.678,10017.601,10102.482,10196.136,10298.087,10407.336,10521.834,10639.931,10761.467,10886.668,11014.558,11143.908,11273.661,11390.913,11500.334,11602.537
Turkey,59423.208,60372.499,61329.59,62287.326,63240.121,64191.474,65143.054,66085.803,67007.855,67903.406,68763.405,69597.281,70440.032,71339.185,72326.914,73409.455,74569.867,75787.333,77030.628,78271.472,79743.461,80921.182,81841.351
Turkmenistan,4287.344,4355.114,4413.477,4466.132,4516.131,4564.08,4610.002,4655.741,4703.398,4754.641,4810.105,4870.137,4935.762,5007.95,5087.21,5174.061,5267.839,5366.277,5466.241,5565.284,5656.329,5741.963,5822.784
Turks and Caicos Islands,15.966,16.528,17.115,17.864,18.873,20.185,21.742,23.41,25.028,26.448,27.642,28.64,29.481,30.245,30.994,31.731,32.431,33.108,33.739,34.339,34.843,35.322,35.782
Tuvalu,9.256,9.277,9.306,9.345,9.42,9.512,9.635,9.767,9.894,10.027,10.137,10.243,10.34,10.441,10.531,10.628,10.725,10.819,10.908,11.001,11.076,11.159,11.235
Uganda,21202.118,21865.931,22551.789,23272.995,24039.274,24854.892,25718.048,26624.82,27568.436,28543.94,29550.662,30590.487,31663.896,32771.895,33915.133,35093.648,36306.796,37553.726,38833.338,40144.87,41443.612,42755.678,44084.357
Ukraine,50582.456,50189.314,49748.581,49290.792,48840.074,48402.885,47979.592,47580.559,47215.966,46892.163,46616.389,46386.355,46186.43,45994.024,45792.501,45576.307,45349.333,45115.785,44883.426,44657.704,44387.704,44106.788,43816.457
United Arab Emirates,2571.02,2700.01,2838.145,2988.162,3154.925,3326.032,3507.232,3741.932,4087.931,4579.562,5242.032,6044.067,6894.278,7666.393,8270.684,8672.475,8900.453,9006.263,9070.867,9154.302,9281.305,9404.273,9523.297
United Kingdom,58156.745,58346.673,58544.938,58746.728,58950.848,59149.343,59348.953,59580.222,59884.128,60286.754,60802.801,61414.66,62076.221,62722.607,63306.843,63811.882,64250.33,64641.11,65015.686,65397.08,65727.519,66030.047,66307.756
United Republic of Tanzania,30811.854,31635.251,32451.713,33291.54,34178.042,35117.019,36105.808,37149.072,38249.984,39410.545,40634.948,41923.715,43270.144,44664.231,46098.591,47570.902,49082.997,50636.595,52234.869,53879.957,55526.079,57180.312,58848.505
United States of America,268803.424,272136.551,275542.603,278862.277,281982.778,284852.391,287506.847,290027.624,292539.324,295129.501,297827.356,300595.175,303374.067,306076.362,308641.391,311051.373,313335.423,315536.676,317718.779,319929.162,321815.174,323630.739,325383.063
United States Virgin Islands,107.931,108.311,108.556,108.681,108.722,108.69,108.557,108.352,108.086,107.793,107.472,107.141,106.798,106.469,106.149,105.843,105.557,105.311,105.11,104.977,104.942,104.825,104.643
Upper-middle-income countries,2229621.087,2250178.472,2269885.526,2288957.055,2307578.062,2325879.348,2343952.537,2361889.303,2379763.317,2397643.625,2415538.091,2433501.344,2451690.235,2470293.547,2489411.123,2509105.054,2529239.069,2549461.847,2569293.476,2588362.98,2603596.763,2616772.95,2628101.677
Uruguay,3248.035,3271.01,3292.138,3309.318,3321.245,3327.103,3327.773,3325.637,3324.096,3325.612,3331.043,3339.741,3350.824,3362.755,3374.415,3385.624,3396.777,3408.005,3419.546,3431.552,3440.841,3448.603,3455.012
Uzbekistan,23298.911,23715.49,24112.41,24489.769,24848.92,25188.527,25511.876,25830.659,26160.326,26512.184,26890.263,27292.375,27715.825,28155.306,28606.294,29068.224,29540.819,30019.734,30499.618,30976.021,31410.728,31816.014,32195.139
Vanuatu,171.801,174.999,178.078,181.345,185.063,189.29,193.956,198.964,204.143,209.37,214.634,219.953,225.34,230.785,236.295,241.871,247.485,253.142,258.85,264.603,270.105,275.505,280.818
Venezuela (Bolivarian Republic of),22650.102,23110.178,23569.454,24028.689,24488.34,24948.476,25408.7,25868.523,26327.225,26784.161,27239.168,27691.965,28141.701,28587.323,29028.033,29463.291,29893.08,30317.848,30738.378,31155.134,31528.515,31882.99,32220.342
Viet Nam,76372.719,77453.335,78452.897,79391.374,80285.562,81139.919,81956.496,82747.662,83527.678,84308.843,85094.617,85889.59,86707.801,87565.407,88472.512,89436.644,90451.881,91497.725,92544.915,93571.567,94403.631,95199.005,95959.468
Wallis and Futuna Islands,14.211,14.28,14.354,14.428,14.5,14.563,14.622,14.651,14.643,14.568,14.434,14.229,13.984,13.706,13.428,13.129,12.836,12.551,12.285,12.066,11.914,11.773,11.65
Western Africa,212092.985,217744.754,223521.236,229437.523,235508.297,241736.854,248131.929,254721.111,261538.074,268607.649,275942.007,283538.293,291387.502,299472.829,307781.164,316312.143,325068.345,334042.659,343226.61,352613.862,361849.934,371122.578,380461.326
Western Asia,170445.557,174027.234,177630.636,181284.968,185018.877,188820.357,192703.315,196751.174,201071.347,205730.682,210765.462,216126.272,221686.411,227268.148,232738.024,238050.855,243226.565,248276.353,253233.89,258123.914,262613.995,266906.642,271031.603
Western Europe,181252.883,181750.229,182162.987,182573.883,183042.176,183590.895,184200.883,184838.896,185453.346,186009.623,186494.225,186927.594,187349.483,187816.127,188366.087,189011.629,189734.679,190506.249,191283.239,192032.306,192626.003,193077.427,193402.551
Western Sahara,264.108,272.84,283.083,296.512,314.118,336.651,363.227,391.167,416.797,437.515,452.35,462.207,468.633,474.044,480.274,487.649,495.772,504.855,514.991,526.216,539.692,552.956,566.019
World,5831565.02,5910566.295,5988846.103,6066867.391,6145006.989,6223412.158,6302149.639,6381408.987,6461370.865,6542159.383,6623847.913,6706418.593,6789771.253,6873741.054,6958169.159,7043008.586,7128176.935,7213426.452,7298453.033,7383008.82,7458174.982,7529619.677,7597815.559
Yemen,15889.449,16408.954,16896.21,17378.098,17874.725,18390.135,18919.179,19462.086,20017.068,20582.927,21160.534,21751.605,22356.391,22974.929,23606.779,24252.206,24909.969,25576.322,26246.327,26916.207,27548.45,28169.217,28779.742
Zambia,9394.304,9666.578,9950.224,10239.714,10531.221,10824.125,11120.409,11421.984,11731.746,12052.156,12383.446,12725.974,13082.517,13456.417,13850.033,14264.756,14699.937,15153.21,15620.974,16100.587,16572.261,17049.18,17532.435
Zimbabwe,11518.262,11709.997,11893.272,12064.537,12222.251,12366.165,12500.525,12633.897,12777.511,12940.032,13124.267,13329.909,13558.469,13810.599,14086.317,14386.649,14710.826,15054.506,15411.675,15777.451,16142.667,16496.237,16840.22
Afghanistan,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.45,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.02,33736.494,34701.393,35720.603,36791.656
Africa,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.67,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1226776.65,1260323.482,1295015.869
